 Energy [J/mol],Critical Geometry,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46,
      0.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   1000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   2000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   3000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   4000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   5000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   6000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   7000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   8000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
   9000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
